,S_tau
path_633,12
path_634,-12
path_635,-12
path_636,-12
path_637,12
path_638,12
path_639,-12
path_640,12
path_641,-12
path_642,12
path_643,12
path_644,-12
path_645,-12
path_646,-12
path_647,-12
path_648,-12
path_649,-12
path_650,-12
path_651,-12
path_652,12
path_653,12
path_654,-12
path_655,12
path_656,12
path_657,-12
path_658,-12
path_659,-12
path_660,-12
path_661,-12
path_662,-12
path_663,12
path_664,-12
path_665,12
path_666,-12
path_667,-12
path_668,-12
path_669,10
path_670,-12
path_671,12
path_672,-12
path_673,-12
path_674,12
path_675,12
path_676,12
path_677,12
path_678,12
path_679,-12
path_680,-12
path_681,12
path_682,12
path_683,-12
path_684,12
path_685,-12
path_686,12
path_687,-12
path_688,-12
path_689,12
path_690,12
path_691,12
path_692,12
path_693,12
path_694,-12
path_695,12
path_696,12
path_697,-12
path_698,12
path_699,-12
path_700,12
path_701,-12
path_702,-12
path_703,-12
path_704,12
path_705,12
path_706,12
path_707,12
path_708,12
path_709,-12
path_710,-4
path_711,-12
path_712,12
path_713,-12
path_714,12
path_715,-12
path_716,-12
path_717,12
path_718,-12
path_719,-2
path_720,12
path_721,-12
path_722,-12
path_723,-12
path_724,12
path_725,12
path_726,-12
path_727,-12
path_728,12
path_729,12
path_730,-12
path_731,-12
path_732,-12
path_733,-12
path_734,-12
path_735,-12
path_736,-12
path_737,12
path_738,-12
path_739,12
path_740,-12
path_741,-12
path_742,12
path_743,-12
path_744,12
path_745,12
path_746,12
path_747,12
path_748,12
path_749,-12
path_750,-12
path_751,-12
path_752,6
path_753,12
path_754,-12
path_755,12
path_756,12
path_757,-12
path_758,-12
path_759,-12
path_760,-12
path_761,12
path_762,-12
path_763,12
path_764,12
path_765,-12
path_766,-12
path_767,-12
path_768,-12
path_769,-12
path_770,12
path_771,-12
path_772,12
path_773,-12
path_774,12
path_775,-12
path_776,12
path_777,-12
path_778,-12
path_779,-12
path_780,12
path_781,-12
path_782,-12
path_783,12
path_784,12
path_785,-12
path_786,12
path_787,-12
path_788,-12
path_789,-12
path_790,12
path_791,12
path_792,-12
path_793,-12
path_794,-12
path_795,-12
path_796,-12
path_797,12
path_798,-12
path_799,-12
path_800,12
path_801,12
path_802,12
path_803,12
path_804,-12
path_805,12
path_806,12
path_807,12
path_808,12
path_809,0
path_810,-12
path_811,12
path_812,12
path_813,-12
path_814,12
path_815,-12
path_816,12
path_817,12
path_818,-12
path_819,12
path_820,12
path_821,12
path_822,-12
path_823,12
path_824,12
path_825,12
path_826,-12
path_827,12
path_828,12
path_829,-12
path_830,12
path_831,12
path_832,12
path_833,-12
path_834,-12
path_835,12
path_836,12
path_837,-12
path_838,-12
path_839,-12
path_840,-12
path_841,-10
path_842,-12
path_843,-12
path_844,12
path_845,-12
path_846,12
path_847,12
path_848,-12
path_849,12
path_850,-12
path_851,-12
path_852,12
path_853,-12
path_854,-12
path_855,-12
path_856,-12
path_857,12
path_858,-12
path_859,12
path_860,-12
path_861,-12
path_862,12
path_863,12
path_864,12
path_865,12
path_866,-12
path_867,12
path_868,12
path_869,12
path_870,-12
path_871,12
path_872,-12
path_873,-12
path_874,-12
path_875,-12
path_876,-12
path_877,12
path_878,12
path_879,-12
path_880,-12
path_881,-12
path_882,12
path_883,-12
path_884,-12
path_885,12
path_886,-12
path_887,12
path_888,-12
path_889,-12
path_890,-12
path_891,-12
path_892,-12
path_893,-12
path_894,12
path_895,12
path_896,2
path_897,12
path_898,-12
path_899,12
path_900,-12
path_901,12
path_902,-12
path_903,12
path_904,-12
path_905,12
path_906,-12
path_907,-12
path_908,12
path_909,-12
path_910,12
path_911,12
path_912,12
path_913,12
path_914,-12
path_915,12
path_916,12
path_917,-12
path_918,12
path_919,12
path_920,12
path_921,12
path_922,-12
path_923,12
path_924,12
path_925,-12
path_926,12
path_927,12
path_928,-12
path_929,-12
path_930,-12
path_931,12
path_932,12
path_933,12
path_934,-12
path_935,12
path_936,12
path_937,12
path_938,12
path_939,12
path_940,-12
path_941,-12
path_942,-12
path_943,12
path_944,12
path_945,-12
path_946,12
path_947,-12
path_948,-12
path_949,-12
path_950,-12
path_951,-12
path_952,12
path_953,-12
path_954,-12
path_955,-12
path_956,-12
path_957,-12
path_958,12
path_959,-12
path_960,12
path_961,12
path_962,-12
path_963,12
path_964,12
path_965,12
path_966,12
path_967,-12
path_968,12
path_969,-12
path_970,12
path_971,-12
path_972,-12
path_973,12
path_974,-12
path_975,12
path_976,12
path_977,-12
path_978,-12
path_979,-12
path_980,12
path_981,-12
path_982,12
path_983,-12
path_984,-12
path_985,-12
path_986,12
path_987,12
path_988,-12
path_989,12
path_990,-12
path_991,12
path_992,-12
path_993,-12
path_994,12
path_995,12
path_996,-12
path_997,-12
path_998,-12
path_999,-12
path_1000,-12
path_1001,12
path_1002,12
path_1003,12
path_1004,12
path_1005,12
path_1006,-12
path_1007,12
path_1008,12
path_1009,12
path_1010,12
path_1011,12
path_1012,12
path_1013,12
path_1014,12
path_1015,-12
path_1016,-12
path_1017,12
path_1018,-12
path_1019,-12
path_1020,-12
path_1021,12
path_1022,12
path_1023,-12
path_1024,-12
path_1025,12
path_1026,12
path_1027,12
path_1028,12
path_1029,-12
path_1030,-12
path_1031,-12
path_1032,-12
path_1033,12
path_1034,12
path_1035,12
path_1036,12
path_1037,-12
path_1038,12
path_1039,12
path_1040,12
path_1041,-2
path_1042,12
path_1043,12
path_1044,12
path_1045,12
path_1046,12
path_1047,-12
path_1048,-12
path_1049,12
path_1050,-12
path_1051,-12
path_1052,-12
path_1053,12
path_1054,-12
path_1055,12
path_1056,12
path_1057,12
path_1058,-12
path_1059,-12
path_1060,-12
path_1061,12
path_1062,4
path_1063,-12
path_1064,12
path_1065,-12
path_1066,12
path_1067,-12
path_1068,-12
path_1069,12
path_1070,-12
path_1071,-12
path_1072,-12
path_1073,12
path_1074,-12
path_1075,-12
path_1076,12
path_1077,12
path_1078,-12
path_1079,12
path_1080,-12
path_1081,12
path_1082,12
path_1083,-12
path_1084,-12
path_1085,12
path_1086,12
path_1087,12
path_1088,-12
path_1089,-12
path_1090,12
path_1091,4
path_1092,-12
path_1093,12
path_1094,12
path_1095,12
path_1096,12
path_1097,12
path_1098,-12
path_1099,-12
path_1100,-12
path_1101,-12
path_1102,-12
path_1103,-12
path_1104,-12
path_1105,12
path_1106,12
path_1107,-12
path_1108,12
path_1109,-12
path_1110,-12
path_1111,12
path_1112,-12
path_1113,-12
path_1114,12
path_1115,-12
path_1116,12
path_1117,12
path_1118,12
path_1119,12
path_1120,12
path_1121,-12
path_1122,-12
path_1123,12
path_1124,-12
path_1125,12
path_1126,12
path_1127,-12
path_1128,-12
path_1129,-12
path_1130,-12
path_1131,12
path_1132,12
path_1133,-12
path_1134,12
path_1135,12
path_1136,12
path_1137,12
path_1138,12
path_1139,12
path_1140,-12
path_1141,-12
path_1142,12
path_1143,12
path_1144,12
path_1145,-12
path_1146,12
path_1147,-12
path_1148,12
path_1149,12
path_1150,-12
path_1151,12
path_1152,-12
path_1153,-12
path_1154,12
path_1155,-12
path_1156,12
path_1157,-12
path_1158,12
path_1159,-12
path_1160,-12
path_1161,-12
path_1162,12
path_1163,12
path_1164,-12
path_1165,-12
path_1166,12
path_1167,-12
path_1168,-12
path_1169,12
path_1170,12
path_1171,12
path_1172,12
path_1173,-12
path_1174,12
path_1175,-12
path_1176,-12
path_1177,12
path_1178,-12
path_1179,-12
path_1180,12
path_1181,-12
path_1182,-12
path_1183,-12
path_1184,12
path_1185,12
path_1186,12
path_1187,12
path_1188,-12
path_1189,12
path_1190,12
path_1191,-12
path_1192,12
path_1193,-12
path_1194,12
path_1195,-12
path_1196,-12
path_1197,-12
path_1198,12
path_1199,12
path_1200,12
path_1201,12
path_1202,12
path_1203,-12
path_1204,-12
path_1205,12
path_1206,4
path_1207,-12
path_1208,12
path_1209,12
path_1210,12
path_1211,12
path_1212,12
path_1213,-12
path_1214,-12
path_1215,12
path_1216,12
path_1217,-12
path_1218,-12
path_1219,-12
path_1220,12
path_1221,12
path_1222,-12
path_1223,12
path_1224,-12
path_1225,-12
path_1226,12
path_1227,-12
path_1228,-12
path_1229,12
path_1230,12
path_1231,12
path_1232,-12
path_1233,-12
path_1234,12
path_1235,-12
path_1236,12
path_1237,12
path_1238,-12
path_1239,-12
path_1240,-12
path_1241,12
path_1242,-12
path_1243,12
path_1244,-12
path_1245,-12
path_1246,12
path_1247,12
path_1248,12
path_1249,-12
path_1250,-12
path_1251,-12
path_1252,-12
path_1253,-12
path_1254,12
path_1255,12
path_1256,-12
path_1257,-12
path_1258,-12
path_1259,6
path_1260,12
path_1261,-12
path_1262,12
path_1263,12
path_1264,12
path_1265,12
path_1266,12
path_1267,12
path_1268,-12
path_1269,-12
path_1270,12
path_1271,-12
path_1272,12
path_1273,-12
path_1274,12
path_1275,12
path_1276,-12
path_1277,-12
path_1278,-12
path_1279,12
path_1280,12
path_1281,-12
path_1282,12
path_1283,12
path_1284,-12
path_1285,-12
path_1286,12
path_1287,-12
path_1288,-12
path_1289,-12
path_1290,12
path_1291,-12
path_1292,-12
path_1293,12
path_1294,12
path_1295,12
path_1296,-12
path_1297,12
path_1298,12
path_1299,-12
path_1300,-12
path_1301,12
path_1302,12
path_1303,-12
path_1304,-12
path_1305,12
path_1306,12
path_1307,-12
path_1308,12
path_1309,-12
path_1310,12
path_1311,12
path_1312,12
path_1313,-12
path_1314,-12
path_1315,12
path_1316,12
path_1317,12
path_1318,-12
path_1319,12
path_1320,-12
path_1321,-12
path_1322,12
path_1323,12
path_1324,-12
path_1325,-12
path_1326,12
path_1327,12
path_1328,-12
path_1329,-12
path_1330,12
path_1331,12
path_1332,12
path_1333,12
path_1334,12
path_1335,12
path_1336,12
path_1337,-12
path_1338,-12
path_1339,12
path_1340,-12
path_1341,-12
path_1342,-12
path_1343,-12
path_1344,-12
path_1345,-12
path_1346,12
path_1347,12
path_1348,12
path_1349,-12
path_1350,12
path_1351,-12
path_1352,12
path_1353,-12
path_1354,12
path_1355,12
path_1356,-12
path_1357,-12
path_1358,-12
path_1359,-12
path_1360,-12
path_1361,12
path_1362,12
path_1363,-12
path_1364,12
path_1365,-12
path_1366,-12
path_1367,-12
path_1368,12
path_1369,-12
path_1370,12
path_1371,-12
path_1372,12
path_1373,-12
path_1374,12
path_1375,12
path_1376,12
path_1377,12
path_1378,-12
path_1379,12
path_1380,12
path_1381,-12
path_1382,12
path_1383,-12
path_1384,-12
path_1385,-12
path_1386,12
path_1387,12
path_1388,-12
path_1389,12
path_1390,-12
path_1391,-12
path_1392,12
path_1393,-12
path_1394,-12
path_1395,12
path_1396,12
path_1397,12
path_1398,12
path_1399,-12
path_1400,-12
path_1401,12
path_1402,12
path_1403,12
path_1404,12
path_1405,-12
path_1406,12
path_1407,12
path_1408,12
path_1409,-12
path_1410,12
path_1411,-12
path_1412,-12
path_1413,-12
path_1414,12
path_1415,-12
path_1416,-12
path_1417,12
path_1418,-12
path_1419,12
path_1420,-12
path_1421,12
path_1422,-12
path_1423,-12
path_1424,-12
path_1425,12
path_1426,-12
path_1427,12
path_1428,12
path_1429,12
path_1430,-12
path_1431,-12
path_1432,-12
path_1433,12
path_1434,-12
path_1435,12
path_1436,12
path_1437,-12
path_1438,-12
path_1439,-12
path_1440,-12
path_1441,-12
path_1442,12
path_1443,-12
path_1444,12
path_1445,-12
path_1446,-12
path_1447,-12
path_1448,-12
path_1449,-12
path_1450,12
path_1451,-12
path_1452,12
path_1453,12
path_1454,12
path_1455,-12
path_1456,12
path_1457,12
path_1458,-12
path_1459,12
path_1460,12
path_1461,-12
path_1462,-12
path_1463,12
path_1464,-12
path_1465,-12
path_1466,12
path_1467,-12
path_1468,-12
path_1469,-12
path_1470,-2
path_1471,12
path_1472,12
path_1473,-12
path_1474,-4
path_1475,12
path_1476,-12
path_1477,12
path_1478,12
path_1479,-12
path_1480,12
path_1481,12
path_1482,-12
path_1483,4
path_1484,12
path_1485,12
path_1486,12
path_1487,12
path_1488,12
path_1489,12
path_1490,-12
path_1491,12
path_1492,-12
path_1493,12
path_1494,12
path_1495,-12
path_1496,12
path_1497,12
path_1498,-12
path_1499,-12
path_1500,-12
path_1501,-12
path_1502,12
path_1503,-12
path_1504,12
path_1505,12
path_1506,12
path_1507,12
path_1508,12
path_1509,12
path_1510,-10
path_1511,12
path_1512,-12
path_1513,-12
path_1514,4
path_1515,12
path_1516,12
path_1517,-12
path_1518,12
path_1519,12
path_1520,-12
path_1521,12
path_1522,-12
path_1523,-12
path_1524,-12
path_1525,-12
path_1526,-12
path_1527,-12
path_1528,12
path_1529,-12
path_1530,-12
path_1531,12
path_1532,12
path_1533,-12
path_1534,-12
path_1535,12
path_1536,-12
path_1537,-12
path_1538,12
path_1539,-12
path_1540,12
path_1541,12
path_1542,-12
path_1543,-12
path_1544,12
path_1545,12
path_1546,12
path_1547,12
path_1548,-12
path_1549,-12
path_1550,-12
path_1551,-12
path_1552,12
path_1553,-12
path_1554,-12
path_1555,12
path_1556,12
path_1557,12
path_1558,12
path_1559,-12
path_1560,-12
path_1561,-12
path_1562,-12
path_1563,12
path_1564,12
path_1565,12
path_1566,12
path_1567,12
path_1568,12
path_1569,12
path_1570,-12
path_1571,12
path_1572,-12
path_1573,12
path_1574,12
path_1575,-12
path_1576,-12
path_1577,12
path_1578,-12
path_1579,-12
path_1580,-12
path_1581,12
path_1582,12
path_1583,12
path_1584,12
path_1585,-12
path_1586,12
path_1587,-12
path_1588,-12
path_1589,-12
path_1590,12
path_1591,12
path_1592,12
path_1593,12
path_1594,-12
path_1595,-12
path_1596,-12
path_1597,12
path_1598,-12
path_1599,12
path_1600,-12
path_1601,-12
path_1602,12
path_1603,12
path_1604,-12
path_1605,-12
path_1606,12
path_1607,12
path_1608,12
path_1609,-12
path_1610,-12
path_1611,12
path_1612,-12
path_1613,12
path_1614,-12
path_1615,-12
path_1616,12
path_1617,-12
path_1618,12
path_1619,-12
path_1620,12
path_1621,12
path_1622,12
path_1623,12
path_1624,12
path_1625,12
path_1626,-12
path_1627,12
path_1628,12
path_1629,12
path_1630,12
path_1631,12
path_1632,-12
path_1633,12
path_1634,12
path_1635,-12
path_1636,12
path_1637,12
path_1638,12
path_1639,12
path_1640,12
path_1641,-12
path_1642,12
path_1643,12
path_1644,-12
path_1645,-12
path_1646,-12
path_1647,12
path_1648,12
path_1649,-12
path_1650,12
path_1651,-12
path_1652,12
path_1653,12
path_1654,-12
path_1655,-12
path_1656,-12
path_1657,-12
path_1658,12
path_1659,12
path_1660,-12
path_1661,12
path_1662,-12
path_1663,12
path_1664,12
path_1665,-12
path_1666,12
path_1667,12
path_1668,-12
path_1669,12
path_1670,12
path_1671,-12
path_1672,12
path_1673,-12
path_1674,-12
path_1675,-12
path_1676,12
path_1677,12
path_1678,-12
path_1679,-12
path_1680,-12
path_1681,12
path_1682,-12
path_1683,12
path_1684,-12
path_1685,12
path_1686,-12
path_1687,12
path_1688,12
path_1689,-12
path_1690,-12
path_1691,12
path_1692,12
path_1693,12
path_1694,-12
path_1695,12
path_1696,-12
path_1697,-12
path_1698,-12
path_1699,-12
path_1700,12
path_1701,-12
path_1702,12
path_1703,-12
path_1704,-12
path_1705,-12
path_1706,12
path_1707,-12
path_1708,12
path_1709,-12
path_1710,-12
path_1711,-12
path_1712,12
path_1713,12
path_1714,-12
path_1715,12
path_1716,-12
path_1717,-12
path_1718,12
path_1719,-12
path_1720,-12
path_1721,12
path_1722,12
path_1723,12
path_1724,-12
path_1725,-12
path_1726,12
path_1727,-12
path_1728,-12
path_1729,-12
path_1730,12
path_1731,-12
path_1732,-12
path_1733,12
path_1734,12
path_1735,12
path_1736,-12
path_1737,-12
path_1738,-12
path_1739,12
path_1740,12
path_1741,12
path_1742,12
path_1743,-12
path_1744,-12
path_1745,12
path_1746,12
path_1747,12
path_1748,-12
path_1749,12
path_1750,-12
path_1751,-12
path_1752,12
path_1753,12
path_1754,12
path_1755,-12
path_1756,-12
path_1757,12
path_1758,-12
path_1759,-12
path_1760,-12
path_1761,-12
path_1762,-12
path_1763,-12
path_1764,12
path_1765,12
path_1766,12
path_1767,-12
path_1768,12
path_1769,12
path_1770,8
path_1771,12
path_1772,-12
path_1773,-12
path_1774,12
path_1775,-12
path_1776,12
path_1777,12
path_1778,12
path_1779,-12
path_1780,-12
path_1781,-12
path_1782,12
path_1783,-12
path_1784,12
path_1785,-12
path_1786,-12
path_1787,12
path_1788,12
path_1789,12
path_1790,-12
path_1791,12
path_1792,-12
path_1793,12
path_1794,12
path_1795,-12
path_1796,12
path_1797,12
path_1798,12
path_1799,12
path_1800,-12
path_1801,-12
path_1802,12
path_1803,-12
path_1804,-12
path_1805,12
path_1806,12
path_1807,-12
path_1808,12
path_1809,-12
path_1810,-12
path_1811,12
path_1812,12
path_1813,12
path_1814,12
path_1815,-12
path_1816,-12
path_1817,-12
path_1818,12
path_1819,-12
path_1820,-12
path_1821,-12
path_1822,-12
path_1823,-12
path_1824,12
path_1825,12
path_1826,-12
path_1827,12
path_1828,12
path_1829,-12
path_1830,12
path_1831,-12
path_1832,12
path_1833,-12
path_1834,12
path_1835,-12
path_1836,12
path_1837,12
path_1838,12
path_1839,-12
path_1840,12
path_1841,-12
path_1842,12
path_1843,12
path_1844,12
path_1845,12
path_1846,12
path_1847,12
path_1848,12
path_1849,12
path_1850,-12
path_1851,12
path_1852,-12
path_1853,-12
path_1854,-12
path_1855,12
path_1856,-12
path_1857,-12
path_1858,-12
path_1859,12
path_1860,-12
path_1861,12
path_1862,12
path_1863,-12
path_1864,-12
path_1865,-4
path_1866,12
path_1867,-12
path_1868,-12
path_1869,12
path_1870,12
path_1871,12
path_1872,12
path_1873,-12
path_1874,-12
path_1875,-12
path_1876,12
path_1877,12
path_1878,12
path_1879,12
path_1880,12
path_1881,12
path_1882,-12
path_1883,-12
path_1884,12
path_1885,-12
path_1886,12
path_1887,-12
path_1888,-12
path_1889,12
path_1890,-12
path_1891,-12
path_1892,12
path_1893,-12
path_1894,-12
path_1895,-12
path_1896,-12
path_1897,-12
path_1898,12
path_1899,12
path_1900,-12
path_1901,-12
path_1902,-12
path_1903,12
path_1904,-12
path_1905,-12
path_1906,12
path_1907,12
path_1908,-12
path_1909,12
path_1910,12
path_1911,12
path_1912,-12
path_1913,-12
path_1914,12
path_1915,-12
path_1916,-12
path_1917,-12
path_1918,-12
path_1919,12
path_1920,-12
path_1921,-12
path_1922,-12
path_1923,-12
path_1924,12
path_1925,-12
path_1926,-12
path_1927,12
path_1928,12
path_1929,12
path_1930,12
path_1931,-12
path_1932,12
path_1933,12
path_1934,12
path_1935,-12
path_1936,-12
path_1937,-12
path_1938,12
path_1939,-12
path_1940,12
path_1941,12
path_1942,-12
path_1943,-12
path_1944,12
path_1945,12
path_1946,-12
path_1947,-12
path_1948,12
path_1949,12
path_1950,12
path_1951,-12
path_1952,12
path_1953,-12
path_1954,12
path_1955,-12
path_1956,-12
path_1957,-12
path_1958,12
path_1959,12
path_1960,12
path_1961,12
path_1962,12
path_1963,12
path_1964,-12
path_1965,12
path_1966,-12
path_1967,12
path_1968,12
path_1969,12
path_1970,12
path_1971,-12
path_1972,12
path_1973,-12
path_1974,-12
path_1975,-12
path_1976,-12
path_1977,12
path_1978,-12
path_1979,-12
path_1980,12
path_1981,12
path_1982,-12
path_1983,-12
path_1984,12
path_1985,12
path_1986,-12
path_1987,-12
path_1988,12
path_1989,-12
path_1990,-12
path_1991,12
path_1992,12
path_1993,-12
path_1994,12
path_1995,-12
path_1996,12
path_1997,12
